iter	Passed	Remaining
0	10	10903
1	36	18265
2	56	18654
3	68	16980
4	80	16017
5	93	15511
6	104	14876
7	111	13875
8	122	13459
9	132	13098
10	141	12686
11	151	12445
12	161	12285
13	172	12132
14	182	11963
15	193	11902
16	205	11862
17	215	11771
18	227	11740
19	236	11611
20	246	11502
21	255	11361
22	269	11446
23	282	11480
24	291	11367
25	297	11137
26	307	11084
27	317	11016
28	323	10821
29	332	10756
30	343	10738
31	349	10563
32	357	10464
33	365	10392
34	375	10356
35	382	10242
36	392	10214
37	402	10184
38	413	10182
39	424	10179
40	434	10152
41	445	10163
42	457	10173
43	462	10039
44	472	10016
45	482	10009
46	489	9932
47	500	9924
48	509	9892
49	519	9872
50	530	9868
51	541	9865
52	551	9862
53	560	9816
54	567	9750
55	577	9741
56	587	9719
57	597	9711
58	607	9682
59	617	9676
60	626	9650
61	634	9603
62	646	9608
63	658	9631
64	668	9614
65	679	9617
66	689	9605
67	700	9596
68	710	9591
69	717	9534
70	727	9520
71	737	9510
72	743	9441
73	754	9437
74	762	9409
75	773	9409
76	784	9404
77	796	9409
78	803	9368
79	814	9365
80	825	9363
81	836	9365
82	847	9364
83	856	9344
84	868	9344
85	873	9282
86	884	9278
87	894	9265
88	904	9261
89	912	9223
90	921	9209
91	930	9178
92	940	9171
93	949	9152
94	958	9126
95	967	9110
96	978	9105
97	988	9097
98	999	9091
99	1007	9068
100	1014	9030
101	1024	9023
102	1035	9020
103	1046	9012
104	1056	9007
105	1069	9019
106	1078	9002
107	1090	9005
108	1103	9017
109	1115	9022
110	1125	9018
111	1132	8979
112	1140	8952
113	1150	8940
114	1160	8932
115	1170	8919
116	1181	8913
117	1189	8887
118	1199	8882
119	1206	8845
120	1218	8854
121	1230	8853
122	1240	8847
123	1248	8817
124	1257	8801
125	1266	8784
126	1309	9004
127	1328	9051
128	1338	9034
129	1348	9022
130	1357	9002
131	1366	8988
132	1376	8969
133	1385	8955
134	1397	8953
135	1407	8939
136	1418	8936
137	1429	8931
138	1444	8949
139	1455	8940
140	1466	8935
141	1477	8927
142	1488	8917
143	1498	8905
144	1504	8871
145	1515	8864
146	1526	8858
147	1541	8873
148	1553	8870
149	1560	8840
150	1571	8835
151	1578	8807
152	1589	8799
153	1598	8783
154	1609	8771
155	1620	8764
156	1630	8754
157	1640	8744
158	1651	8737
159	1662	8726
160	1672	8717
161	1683	8709
162	1693	8695
163	1704	8686
164	1714	8676
165	1726	8673
166	1733	8645
167	1742	8629
168	1752	8618
169	1763	8608
170	1772	8594
171	1782	8579
172	1791	8565
173	1801	8552
174	1812	8542
175	1821	8529
176	1831	8513
177	1841	8505
178	1848	8478
179	1854	8447
180	1864	8435
181	1874	8423
182	1883	8410
183	1893	8398
184	1903	8387
185	1912	8370
186	1922	8358
187	1931	8344
188	1942	8334
189	1947	8302
190	1951	8266
191	1961	8254
192	1971	8243
193	1979	8225
194	1990	8218
195	2000	8206
196	2010	8193
197	2019	8181
198	2028	8165
199	2038	8155
200	2046	8134
201	2058	8132
202	2069	8126
203	2078	8110
204	2088	8098
205	2097	8084
206	2107	8072
207	2116	8059
208	2127	8051
209	2139	8049
210	2150	8042
211	2160	8030
212	2170	8018
213	2179	8004
214	2185	7979
215	2195	7968
216	2206	7963
